VPDUNIT_ID,PROXYCODE,COMPLIANCE_RATE,SITE_TYPE,SITE_NAME,RD_CODE,SITE_NUMBER,AFOREST_CODE,Proxy,Year,APR_JUN,JUL_SEP,OCT_DEC,JAN_MAR,Total_Proxy_Visits,APR_JUN_COUNT_ADJUSTED,JUL_SEP_COUNT_ADJUSTED,OCT_DEC_COUNT_ADJUSTED,JAN_MAR_COUNT_ADJUSTED,TOTAL_COUNT_ADJUSTED
504,FR1,   1,DUDS,Mammoth Mtn. Ski Area Summer,Mammoth RD,13,A05004,2,2006,0,68526,0,0,68526,0,68526,0,0,68526
504,SV1,   1,DUDS,June Mountain Ski Area,Mono RD,9384,A05004,2,2006,12533,0,13954,68536,95023,12533,0,13954,68536,95023
504,SV1,   1,DUDS,Mammoth Mt. Ski Area Winter,Mammoth RD,9497,A05004,2,2006,344838,6486,281715,862036,1495075,344838,6486,281715,862036,1495075
504,SV1,   1,DUDS,Tamarack Nordic Ski,Mammoth RD,9522,A05004,2,2006,1030,0,2149,8616,11795,1030,0,2149,8616,11795
504,DUR5,   1,OUDS,Table Mountain Group CG,White Mountain RD,66,A05004,2,2006,19,62,0,0,81,19,62,0,0,81
504,DUR4,   1,OUDS,Silver Lake Resort RV Park,Mono RD,114,A05004,2,2006,3016,6713,629,0,10358,3016,6713,629,0,10358
504,RE4,   1,OUDS,Tom's Place,White Mountain RD,130,A05004,2,2006,1015,1268,487,633,3403,1015,1268,487,633,3403
504,RE4,   1,OUDS,Mammoth Recreation Inc.,Mammoth RD,9325,A05004,2,2006,12395,10652,8972,16116,48135,12395,10652,8972,16116,48135
504,DUR4,   1,OUDS,Tioga Lake CG,Mono RD,9343,A05004,2,2006,0,1217,140,0,1357,0,1217,140,0,1357
504,DUR4,   1,OUDS,Big Bend CG,TOTAL,9345,A05004,2,2006,441,1721,78,0,2240,441,1721,78,0,2240
504,DUR4,   1,OUDS,Sawmill Walk-in CG,Mono RD,9347,A05004,2,2006,0,431,8,0,439,0,431,8,0,439
504,DUR4,   1,OUDS,Saddlebag Lake CG,Mono RD,9348,A05004,2,2006,0,1862,175,0,2037,0,1862,175,0,2037
504,DUR4,   1,OUDS,Ellery Lake CG,Mono RD,9349,A05004,2,2006,110,1288,108,0,1506,110,1288,108,0,1506
504,DUR4,   1,OUDS,Silver Lake CG,Mono RD,9356,A05004,2,2006,2454,5175,0,0,7629,2454,5175,0,0,7629
504,DUR4,   1,OUDS,Reversed Creek CG,Mono RD,9360,A05004,2,2006,2280,823,0,0,3103,2280,823,0,0,3103
504,DUR4,   1,OUDS,Gull Lake CG,Mono RD,9361,A05004,2,2006,511,894,0,0,1405,511,894,0,0,1405
